"Type","Source","Destination","Alt Text","Length","Path Type","Link Path","Link Position","Link Origin","Real Dimensions","Dimensions in Attributes","Display Dimensions"
"Image","https://www.mychef.ae/catering-dubai","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Yacht catering in Dubai — canapés and service on deck at dusk. Experience concept shown.","88","Root-Relative","//body/div/div/main/div/div/section[@id='where']/div/div[1]/article[2]/a/img","Content","HTML","","1600x900",""
"Image","https://www.mychef.ae/vip-club","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Yacht catering for myCHEF VIP members in Dubai","46","Root-Relative","//body/div/div/main/div/div[1]/section[6]/div/div/div[3]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/vip-club","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Yacht Catering Dubai","20","Root-Relative","//body/div/div/main/div/div[1]/section[9]/div/div/a[3]/div[1]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/case-studies","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Yacht Birthday Celebration, Dubai Marina","40","Root-Relative","//body/div/div/main/div/div/section[3]/div/div[2]/a[2]/div[1]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/gallery","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Yacht Sunset Dinner — luxury catering dubai","43","Root-Relative","//body/div/div/main/div/section[3]/div/div[2]/div[4]/div/img","Content","HTML","","",""
"Image","https://www.mychef.ae/locations/jumeirah-islands","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/private-chef-dubai/our-chefs","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/partners/yacht-charters-dubai","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Yacht Charters partnership with myCHEF Dubai","44","Root-Relative","//body/div/div/main/div/div/section[1]/div[1]/picture/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/case-studies/corporate-gala-dinner-downtown-dubai","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/locations/mirdif","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/case-studies/product-launch-difc","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/locations/dubai-internet-city","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/vip-club?utm_source=mychef.ae&utm_medium=banner&utm_campaign=weekly-meal-prep-dubai","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Yacht catering for myCHEF VIP members in Dubai","46","Root-Relative","//body/div/div/main/div/div[1]/section[6]/div/div/div[3]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/vip-club?utm_source=mychef.ae&utm_medium=banner&utm_campaign=weekly-meal-prep-dubai","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Yacht Catering Dubai","20","Root-Relative","//body/div/div/main/div/div[1]/section[9]/div/div/a[3]/div[1]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/case-studies/family-eid-gathering-arabian-ranches","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/private-dining-dubai","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/menu-mains.webp","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/locations/meydan","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/locations/dubai-harbour","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/case-studies/intimate-anniversary-dinner-palm-jumeirah","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/romantic-dinner-dubai-hero.webp","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/locations/al-barari","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/luxury-dining-dubai","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/locations/dubai-media-city","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/locations/dubai-creek-harbour","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/case-studies/villa-wedding-reception-emirates-hills","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/event-catering-dubai","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/yacht-catering-dubai","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/locations/jumeirah-golf-estates","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/beach-catering-dubai","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Yacht Catering","14","Root-Relative","//body/div/div/main/div/div[1]/section[8]/div/div/a[1]/div[1]/img","Content","HTML","","640x360",""
"Image","https://www.mychef.ae/case-studies/yacht-birthday-celebration-dubai-marina","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/vip-club?utm_source=mychef.ae&utm_medium=banner&utm_campaign=catering-packages-dubai","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Yacht catering for myCHEF VIP members in Dubai","46","Root-Relative","//body/div/div/main/div/div[1]/section[6]/div/div/div[3]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/vip-club?utm_source=mychef.ae&utm_medium=banner&utm_campaign=catering-packages-dubai","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Yacht Catering Dubai","20","Root-Relative","//body/div/div/main/div/div[1]/section[9]/div/div/a[3]/div[1]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/locations/mall-of-the-emirates","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/locations/dwtc","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/vip-club?utm_source=mychef.ae&utm_medium=banner&utm_campaign=wellness-meal-prep-dubai","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Yacht catering for myCHEF VIP members in Dubai","46","Root-Relative","//body/div/div/main/div/div[1]/section[6]/div/div/div[3]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/vip-club?utm_source=mychef.ae&utm_medium=banner&utm_campaign=wellness-meal-prep-dubai","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Yacht Catering Dubai","20","Root-Relative","//body/div/div/main/div/div[1]/section[9]/div/div/a[3]/div[1]/img","Content","HTML","","",""
"Image","https://www.mychef.ae/dessert-table-dubai","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/locations/dubai-mall","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/images/eid-catering-dubai-hero.webp","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/images/business-lunch-catering-dubai-hero.webp","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/live-cooking-station-dubai","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/villa-catering-dubai","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/locations/city-walk","https://www.mychef.ae/images/yacht-catering-dubai-hero.webp","Chef serving canapés on a yacht deck in Dubai","45","Root-Relative","//body/div/div/main/div/section[4]/div/div[2]/img","Content","HTML","","1344x752",""
"Image","https://www.mychef.ae/","https://www.mychef.ae/team-head-chef.webp","Chef in the myCHEF network","26","Root-Relative","//body/div/div/main/div/section[11]/div/div/div[1]/img","Content","HTML","","800x1000",""
"Image","https://www.mychef.ae/about","https://www.mychef.ae/team-head-chef.webp","Marco Adriano, independent partner chef","39","Root-Relative","//body/div/div/main/div/div[1]/section[4]/div/div[2]/article[@class='team-card'][1]/div/img","Content","HTML","","300x400",""
